ARO	Shorten Name	Gene Name	Antibiotics	Resistance Mechanism	AMR gene Family	Description	Species	UC-1-1	UC-1-2	UC-2-1	UC-2-2	RT-1-1	RT-1-2	RT-2-1	RT-2-2	RT-3-1	RT-3-2	RT-4-1	RT-4-2	RT-5-1	RT-5-2	UC-3-1	UC-3-2	UC-4-1	UC-4-2	UC-5-1	UC-5-2	UC-6-1	UC-6-2	UC-7-1	UC-7-2	UC-8-1	UC-8-2	RT-6-1	RT-6-2	RT-7-1	RT-7-2	UC-9-1	UC-9-2	RT-8-1	RT-8-2	UC-10-1	UC-10-2	UC-11-1	UC-11-2	UC-12-1	UC-12-2	UC-13-1	UC-13-2	RT-9-1	RT-9-2	RT-10-1	RT-10-2	RT-11-1	RT-11-2	UC-14-1	UC-14-2	UC-15-1	UC-15-2	UC-16-1	UC-16-2	RT-12-1	RT-12-2	UC-17-1	UC-17-2	UC-18-1	UC-18-2	UC-19-1	UC-19-2	RT-13-1	RT-13-2	UC-20-1	UC-20-2	RT-14-1	RT-14-2	RT-15-1	RT-15-2	RT-16-1	RT-16-2	RT-17-1	RT-17-2	RT-18-1	RT-18-2	UC-21-1	UC-21-2	RT-19-1	RT-19-2	UC-22-1	UC-22-2	RT-20-1	RT-20-2	RT-21-1	RT-21-2	UC-23-1	UC-23-2	RT-22-1	RT-22-2	RT-23-1	RT-23-2	UC-24-1	UC-24-2	RT-24-1	RT-24-2	RT-25-1	RT-25-2	RT-26-1	RT-26-2	RT-27-1	RT-27-2	RT-28-1	RT-28-2	RT-29-1	RT-29-2	UC-25-1	UC-25-2	UC-26-1	UC-26-2	UC-27-1	UC-27-2	UC-28-1	UC-28-2	UC-29-1	UC-29-2	RT-30-1	RT-30-2	RT-31-1	RT-31-2	UC-30-1	UC-30-2	UC-31-1	UC-31-2	UC-32-1	UC-32-2	UC-33-1	UC-33-2	UC-34-1	UC-34-2	RT-32-1	RT-32-2	RT-33-1	RT-33-2	RT-34-1	RT-34-2
3002867	dfrF	dfrF	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrF is a chromosome-encoded dihydrofolate reductase found in Streptococcus pyogenes.	Enterococcus faecalis	2950	2791	18837	13972	257	927	571	30949	2482	7727	0	18	87	4557	15	4455	3846	27331	86	2884	0	4920	156	34290	1041	52840	86	5165	16807	24994	11607	20420	0	90427	5339	7823	0	249	25120	9381	5945	10029	13	5617	8087	19631	13686	3752	29709	1838	6161	2142	3131	6710	15484	15216	0	17033	0	14989	1346	4214	0	3455	5249	17538	6161	32615	753	5530	429	2234	0	65474	0	4475	0	24	395	7540	402	17	12008	7773	3697	7679	1392	20088	0	5562	0	2057	419	20582	0	800	0	2644	93	2025	1323	10263	74	0	358	36667	101	6436	0	0	1113	30082	0	18764	522	7548	4217	13737	3014	21373	411	14373	3301	6383	6534	19535	0	2338	32	17023	0	3585	72409	18378	54411	26102
3003550	mdtP	mdtP	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride."	Escherichia coli str. K-12 substr. W3110	7585	6294	2764	2577	1170	7867	7233	1425	5719	4771	7208	5725	10111	1407	0	0	7287	2934	6841	7864	3531	5931	7877	617	7759	907	9659	5885	2382	2295	220	37	6502	720	4342	1248	7363	7077	186	515	5341	2323	0	4582	5268	3641	5430	7760	4969	6944	7310	6535	6726	5121	5859	3175	6719	7998	3616	955	4849	7791	7133	194	581	1007	4651	5234	8053	5450	4013	6453	7825	304	6723	1382	2791	6333	8883	725	3944	8397	4087	3179	626	6225	0	263	0	1483	0	830	8367	2405	7783	9019	7110	2298	8024	3779	7113	876	8226	8740	1750	1732	7744	1819	5619	8042	5777	3146	9401	969	8382	2187	3553	52	6304	2400	6366	207	5993	2283	4333	2992	668	3437	0	503	7084	3704	3333	1079	6544	2547
3000508	gadX	gadX	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	Escherichia coli str. K-12 substr. W3110	4742	3873	1570	1958	764	3553	5479	838	3677	3112	3572	3585	5964	977	0	0	5250	2015	4940	5530	2096	2929	2396	255	5821	847	4948	4609	3401	1960	204	29	4458	393	3035	823	4158	5638	173	476	3496	1249	0	3443	3494	2523	4274	5911	2865	3761	5401	3924	5343	2867	4368	1542	5586	4588	2452	463	3530	5883	3018	162	287	1188	3267	2312	3305	3881	1834	3809	2735	157	3410	712	918	4081	5071	518	2154	4495	3121	2261	534	3573	0	187	0	1192	0	505	5321	1789	3194	4532	5411	1735	4173	1799	4880	621	5247	5746	1622	1187	5567	1416	3610	5432	3648	2119	5291	689	5374	1547	4398	39	4149	1349	5704	148	3182	1667	2879	2248	547	1652	0	529	3632	1916	2646	878	3468	1964
3000796	mdtF	mdtF	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	Escherichia coli str. K-12 substr. MG1655	15058	11981	7069	5247	2303	13466	13995	2662	10054	9117	12469	10960	17020	2758	926	0	14116	6148	13060	13371	6325	9847	13757	2002	14781	2273	15906	11252	7097	5875	475	88	12324	1370	10184	2931	15019	14071	427	1723	11194	7272	0	8800	9766	6623	12211	15013	9547	11878	14247	12895	12256	9455	10554	5988	14999	12368	7919	1461	10055	14353	12788	464	988	2777	9626	9064	13199	10737	7850	11054	14712	629	12534	2329	7012	13289	14020	1437	8137	16057	8223	5742	1315	10527	0	581	0	3746	0	1693	15382	5413	13220	15087	14062	5135	13776	5240	12467	1368	16161	14179	3571	4181	16414	3867	12761	15021	10861	6586	17441	1731	14524	3915	12313	123	12795	4190	12386	422	10685	5052	9911	7132	1343	5807	0	2800	11458	6611	6653	1298	11729	4945
3000830	cpxA	cpxA	aminocoumarin antibiotic; aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	"CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR, which promotes efflux complex expression."	Escherichia coli O157:H7 str. Sakai	6304	5234	3301	2136	930	6406	5823	1097	4408	3876	5577	3817	8346	1111	632	0	5732	2873	5071	5583	2777	4375	5497	985	5915	933	7285	4566	2745	2540	198	0	5160	520	4149	1266	6375	5644	218	729	4765	3215	0	3890	4278	2520	4541	5597	4122	5153	5888	5029	4634	4014	4559	2451	5626	5901	3242	636	4192	5466	5537	228	431	1282	3833	3782	6488	4139	3701	5227	6837	266	5174	1194	4187	5675	6387	555	3920	6916	3233	2495	685	4543	0	240	0	2053	0	580	6055	2106	5631	6571	5517	2087	6329	2903	5384	633	6475	5844	1443	1850	6487	1734	5735	5920	5458	2767	7270	786	6180	1739	5006	0	5582	1863	4784	162	5135	2029	4438	2823	558	2705	0	1446	5650	2884	2771	805	5398	1991
3000777	adeF	adeF	tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AdeF is the membrane fusion protein of the multidrug efflux complex AdeFGH.	Acinetobacter baumannii AYE	0	0	0	0	0	64	1370	0	0	0	0	0	0	0	138	0	0	0	0	0	374	0	81	0	0	0	0	0	376	161	0	0	0	0	0	0	0	0	0	53	1473	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	0	3485	0	0	0	2595	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	131	0	184	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0
3003002	CfxA2	CfxA2	cephamycin	antibiotic inactivation	CfxA beta-lactamase	CfxA2 beta-lactamase is a class A beta-lactamase found in Prevotella intermedia.	Prevotella intermedia	681	5197	1252	8098	0	15	0	2201	368	8793	46	384	349	26527	43	0	0	59	0	381	0	0	0	0	435	860	0	441	0	93	11390	17652	64	0	0	0	0	91	88	1133	0	0	0	0	10631	692	0	11	344	260	0	1002	79	0	0	275	0	0	83	0	30	12	0	0	105	14899	43335	4059	0	26	0	0	0	136	0	32049	0	0	46	4428	156	454	0	32808	23698	3927	17614	19532	0	0	0	41	0	0	0	74	0	733	0	1688	1509	5102	0	0	14255	172	0	0	0	0	173	495	0	30392	47	8216	0	3542	897	677	6536	9062	199	3840	181	0	0	0	0	25	0	0	0	11432	2497	632
3001216	mdtH	mdtH	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Multidrug resistance protein MdtH.	Escherichia coli str. K-12 substr. MG1655	4701	3722	1290	1602	464	4125	3467	773	3445	2880	3833	2764	4801	798	83	0	3462	1837	3719	3817	1710	2717	3763	329	4627	643	4785	2854	1443	1469	139	0	3858	361	2405	779	3440	3765	115	302	2909	1188	0	2615	2875	1790	2383	4177	2942	4056	3958	4380	3624	3436	3207	2112	4078	4957	1594	599	3335	4054	3362	188	195	803	2919	3074	3677	3118	2238	3719	3941	183	3700	874	1635	4232	4444	397	3124	5881	1894	1513	151	2868	0	157	0	911	0	461	4501	1367	4201	5840	3951	1426	5262	1983	4615	455	3908	4307	1191	1034	5116	895	3633	5002	2779	2037	4651	547	5122	968	3100	38	4432	1586	3826	138	3606	1727	2381	1692	218	2023	0	308	3899	2200	1915	548	2746	1417
3000254	emrY	emrY	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.	Escherichia coli	6667	5658	2567	3802	920	8054	8092	1721	4707	4523	8993	5951	9468	1783	0	0	8362	4178	8561	8468	3258	6061	7678	570	10282	1710	11487	7962	6173	3701	336	44	10520	723	6165	2063	9360	10185	312	708	6967	1988	0	6255	6460	3863	6973	10012	6152	7739	9567	9015	9256	6179	9585	3194	10053	10846	4954	1057	7831	9626	5615	291	683	1986	6627	6173	8147	7476	2828	4761	6311	253	4481	905	1503	7033	7638	715	3587	7946	5263	3116	594	5855	0	412	0	1988	0	731	9309	3292	7307	9012	10515	3076	6127	1690	7893	797	8890	8731	3315	2908	9747	2147	9706	10494	5295	4719	9194	1086	10220	2037	7439	48	6004	1760	10551	302	4286	2562	5895	4743	772	3215	0	915	4981	4933	4555	1453	5124	3402
3000779	adeH	adeH	tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AdeH is the outer membrane channel protein of the AdeFGH multidrug efflux complex.	Acinetobacter baumannii AYE	0	0	0	0	0	52	730	0	0	0	0	0	0	0	54	0	0	0	0	0	166	0	26	0	0	0	0	0	171	69	0	0	0	0	0	0	0	0	0	34	722	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	790	0	1675	0	0	0	1236	0	0	0	133	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	188	0	80	0	63	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	25	0	0	0	0	0	0	0	0	0
