Sample ID	Contig	RGI cutoff	Gene Name	Percentage identity	ARO	Other genes on same contig	Top BlastN Hit against nr-nt	Top Kmer hits
RT-17-2	NODE_58_length_1535_cov_44.931757_2	Strict	ErmF	97.37	3000498	None	Uncultured bacterium clone AX_08E_000_Contig_6 genomic sequence	Bacteroides (chromosome or plasmid): 32
RT-18-2	NODE_182_length_1154_cov_712.913558_1	Strict	ErmF	99.62	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides (chromosome or plasmid): 174
RT-19-1	NODE_65_length_1065_cov_9.330693_1	Strict	ErmF	98.87	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides (chromosome or plasmid): 1
RT-19-2	NODE_125_length_1543_cov_181.795699_2	Strict	ErmF	98.5	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome	Bacteroides (chromosome or plasmid): 20
UC-22-1	NODE_4_length_6257_cov_217.254434_4	Strict	ErmF	99.62	3000498	"tetQ, tetX"	Uncultured bacterium clone TE_03E_000_Contig_6 genomic sequence	Bacteroides (chromosome or plasmid): 199
UC-22-2	NODE_110_length_1271_cov_43.331414_2	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone AX128_01G_000_Contig_05 genomic	Bacteroides fragilis (chromosome or plasmid): 19
RT-20-2	NODE_11_length_3852_cov_481.589939_2	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides (chromosome or plasmid): 320
RT-21-1	NODE_30_length_2277_cov_2113.857786_3	Strict	ErmF	98.5	3000498	None	Uncultured bacterium clone TE_03C_000_Contig_14 genomic sequence	Bacteroides (chromosome or plasmid): 798
RT-21-1	NODE_36_length_2107_cov_2446.384503_2	Strict	ErmF	98.5	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides (chromosome or plasmid): 798
RT-21-2	NODE_14_length_2941_cov_1870.048164_3	Strict	ErmF	97.74	3000498	tetX	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides (chromosome or plasmid): 695
UC-23-2	NODE_12_length_2750_cov_2208.823377_1	Strict	ErmF	99.62	3000498	tetX	"Sphingobacterium sp. LZ7M1 chromosome, complete genome "	Bacteroides fragilis (chromosome or plasmid): 1141
RT-24-2	NODE_109_length_891_cov_492.783493_1	Strict	ErmF	99.62	3000498	None	Riemerella anatipestifer strain 20190305E2-2 plasmid..	Bacteroides (chromosome or plasmid): 242
RT-25-2	NODE_156_length_5318_cov_77.802964_2	Strict	ErmF	99.62	3000498	tetX	Uncultured bacterium clone TE_03A_000_Contig_4 genomic sequence 	Bacteroides fragilis (chromosome or plasmid): 92
RT-27-1	NODE_7_length_6350_cov_240.499762_2	Strict	ErmF	99.62	3000498	"tetX, tetQ"	Uncultured bacterium clone TE_08A_000_Contig_14 genomic sequence	Bacteroides fragilis (chromosome or plasmid): 35
RT-27-2	NODE_5_length_5612_cov_2291.681483_2	Strict	ErmF	99.25	3000498	tetX	Uncultured bacterium clone TE_03A_000_Contig_4 genomic sequence 	Bacteroides (chromosome or plasmid): 2142
RT-29-1	NODE_12_length_5000_cov_1918.534075_2	Strict	ErmF	97.74	3000498	"tet(X4), mdtM"	Uncultured bacterium clone TG_03G_000_Contig_4 genomic sequence	Bacteroides (chromosome or plasmid): 1173
RT-29-2	NODE_39_length_2159_cov_116.963403_1	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,.."	Bacteroides (chromosome or plasmid): 40
UC-27-1	NODE_143_length_1047_cov_7.034274_1	Strict	ErmF	98.5	3000498	None	"Bacteroides fragilis strain DCMOUH0042B chromosome, complete."	None
UC-27-2	NODE_75_length_1282_cov_73.949470_2	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone TE_03C_000_Contig_14 genomic sequence	Bacteroides (chromosome or plasmid): 21
UC-29-1	NODE_22_length_3126_cov_11.430153_2	Strict	ErmF	99.62	3000498	None	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides (chromosome or plasmid): 3
UC-29-2	NODE_30_length_3861_cov_663.429059_2	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides (chromosome or plasmid): 483
RT-30-2	NODE_1007_length_928_cov_239.844215_1	Strict	ErmF	98.5	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome  	Bacteroides (chromosome or plasmid): 51
RT-31-2	NODE_41_length_2643_cov_68.946291_2	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides (chromosome or plasmid): 32
UC-30-2	NODE_28_length_2211_cov_616.714286_2	Strict	ErmF	99.62	3000498	tetX	Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2	Bacteroides (chromosome or plasmid): 192
UC-31-1	NODE_82_length_1442_cov_27.057678_1	Strict	ErmF	97.74	3000498	None	Uncultured bacterium clone TG_03G_000_Contig_4 genomic sequence 	Bacteroides (chromosome or plasmid): 20
UC-31-2	NODE_204_length_937_cov_1705.260771_1	Strict	ErmF	97.74	3000498	None	Uncultured bacterium clone TG_05C_000_Contig_2 genomic sequence	Bacteroides (chromosome or plasmid): 897
UC-32-1	NODE_2751_length_839_cov_116.742347_1	Strict	ErmF	99.25	3000498	None	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,.."	Bacteroides fragilis (chromosome or plasmid): 73
UC-32-2	NODE_30_length_3027_cov_2272.941454_3	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone AX128_03E_000_Contig_012 genomic.	Bacteroides fragilis (chromosome or plasmid): 6565
UC-34-2	NODE_30_length_2902_cov_39.278188_1	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides fragilis (chromosome or plasmid): 17
RT-33-1	NODE_23_length_2637_cov_179.482959_1	Strict	ErmF	99.25	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides fragilis (chromosome or plasmid): 287
RT-33-2	NODE_15_length_2948_cov_2296.860698_1	Strict	ErmF	99.25	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides fragilis (chromosome or plasmid): 3772
RT-34-1	NODE_272_length_1154_cov_85.358508_1	Strict	ErmF	99.62	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides (chromosome or plasmid): 26
UC-1-2	NODE_13_length_5531_cov_218.110847_1	Strict	ErmF	98.5	3000498	E coli mdfA	"Shigella flexneri strain SWHEFF_71 chromosome, complete genome"	Riemerella anatipestifer (chromosome): 1
UC-2-1	NODE_900_length_1030_cov_68.613333_1	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides ovatus (chromosome or plasmid): 6
UC-2-2	NODE_107_length_1095_cov_295.718269_1	Strict	ErmF	99.62	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome 	Bacteroides ovatus (chromosome or plasmid): 86
RT-1-2	NODE_33_length_2768_cov_23.283819_2	Strict	ErmF	97.74	3000498	None	Uncultured bacterium clone TG_03G_000_Contig_4 genomic sequence	Bacteroides (chromosome or plasmid): 9
RT-3-1	NODE_52_length_3086_cov_13.290663_2	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,."	Bacteroides fragilis (chromosome or plasmid): 15
RT-3-2	NODE_45_length_1631_cov_235.088832_1	Strict	ErmF	99.62	3000498	None	"Bacteroides fragilis strain DCMOUH0042B chromosome, complete."	Bacteroides fragilis (chromosome or plasmid): 212
RT-4-2	NODE_51_length_1588_cov_17.857795_2	Strict	ErmF	99.25	3000498	None	"Prevotella melaninogenica strain FDAARGOS_760 chromosome 2,"	Bacteroides ovatus (chromosome or plasmid): 5
RT-5-2	NODE_44_length_1896_cov_6030.514394_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 6072
UC-3-1	NODE_26_length_2560_cov_4.489820_1	Strict	ErmF	98.5	3000498	tet(X4)	Uncultured bacterium clone TG_03C_000_Contig_2 genomic sequence	Bacteroides (chromosome or plasmid): 3
UC-4-2	NODE_4_length_5491_cov_1084.481788_4	Strict	ErmF	99.25	3000498	"tetX, CRP"	Uncultured bacterium clone TG_03E_000_Contig_2 genomi	Bacteroides fragilis (chromosome or plasmid): 1387
UC-6-1	NODE_309_length_2251_cov_253.061931_2	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone AX128_08E_000_Contig_22 genomic	Bacteroides (chromosome or plasmid): 296
UC-6-2	NODE_25_length_3015_cov_245.919595_3	Strict	ErmF	99.62	3000498	gadX	"Escherichia coli strain 377323_2f chromosome, complete genome"	Bacteroides (chromosome or plasmid): 41
UC-8-1	NODE_4_length_7145_cov_392.520733_2	Strict	ErmF	99.62	3000498	tetX	"Escherichia coli strain TL-14 chromosome, complete genome"	Bacteroides (chromosome or plasmid): 24
UC-8-2	NODE_24_length_2471_cov_25.522351_2	Strict	ErmF	99.62	3000498	tetX	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,."	Bacteroides (chromosome or plasmid): 5
RT-7-2	NODE_26_length_3422_cov_56.863677_2	Strict	ErmF	99.62	3000498	tetX	Uncultured bacterium clone TG_01X_000_Contig_1 genomic sequenc	Bacteroides ovatus (chromosome or plasmid): 41
