ARO	Gene Name	Antibiotics	Resistance Mechanism	AMR gene Family	Description	Species	Neg-ext-1	Neg-ext-2	Neg-ext-3	Neg-ext-7	Neg-ext-8
3002528	AAC(3)-Ia	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)	"AAC(3)-Ia is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in S. marcescens, E. coli, Acinetobacter baumannii, Klebsiella pneumoniae, Klebsiella oxytoca, P. aeruginosa, Salmonella typhimurium and Proteus mirabilis."	Pseudomonas aeruginosa	0	1	1	1	1
3002535	AAC(3)-IIc	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)	AAC(3)-IIc is a plasmid-encoded aminoglycoside acetyltransferase in E. coli and P. aeruginosa.	Escherichia coli	0	0	1	1	0
3002539	AAC(3)-IV	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)	"AAC(3)-IV is a plasmid-encoded aminoglycoside acetyltransferase in E. coli, C. jejuni and P. stutzeri."	Escherichia coli	1	1	1	1	1
3005116	AAC(6')-Ib-cr6	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib-cr	A fluoroquinolone-acetylating aminoglycoside acetyltransferase variant identified from Escherichia coli. These proteins confer resistance to both fluoroquinolone and aminoglycoside antibiotics.	Escherichia coli	1	0	0	0	0
3002556	AAC(6')-Ii	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	AAC(6')-Ii is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus spp.	Enterococcus faecium	1	0	0	0	0
3002602	aadA2	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	"aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae, Salmonella spp., Corynebacterium glutamicum, C. freundii and Aeromonas spp."	Klebsiella pneumoniae	1	0	0	0	0
3002603	aadA3	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	"aadA3 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids, transposons and integrons in E. coli."	Plasmid NR79	0	0	1	0	0
3002605	aadA5	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	"aadA5 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids, transposons and integrons in E. coli, K. pneumoniae, Kluyvera georgiana, P. aeruginosa and E. cloacae."	Escherichia coli	0	0	1	1	0
3000216	acrB	penam; disinfecting agents and antiseptics; tetracycline antibiotic; cephalosporin; glycylcycline; fluoroquinolone antibiotic; rifamycin antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	Escherichia coli str. K-12 substr. MG1655	0	1	0	0	0
3000491	acrD	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	"AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole, and is regulated by baeRS and cpxAR."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3000499	AcrE	penam; cephalosporin; cephamycin; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	"AcrE is a membrane fusion protein, similar to AcrA."	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	1
3000502	AcrF	penam; cephalosporin; cephamycin; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	"AcrF is a inner membrane transporter, similar to AcrB."	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	0
3000656	AcrS	penam; disinfecting agents and antiseptics; tetracycline antibiotic; cephalosporin; cephamycin; glycylcycline; fluoroquinolone antibiotic; rifamycin antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	1
3001823	ACT-3	carbapenem; penam; cephalosporin; cephamycin	antibiotic inactivation	ACT beta-lactamase	ACT-3 is a beta-lactamase found in Klebsiella pneumoniae.	Klebsiella pneumoniae	0	1	0	0	0
3006240	ACT-45	carbapenem; penam; cephalosporin; cephamycin	antibiotic inactivation	ACT beta-lactamase	ACT-45 is a ACT beta-lactamase.	Enterobacter cloacae complex	1	0	0	0	0
3000230	ANT(2'')-Ia	aminoglycoside antibiotic	antibiotic inactivation	ANT(2'')	"Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa, K. pneumoniae, Morganella morganii, E. coli, S. typhimurium, C. freundii and A. baumannii."	Pseudomonas aeruginosa	0	0	0	1	0
3004089	ANT(3'')-IIa	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	ANT(3'')-IIa is a aminoglycoside nucleotidyltransferase identified in Acinetobacter spp. via horizontal gene transfer mechanisms.	Escherichia coli	1	1	1	1	1
3002660	APH(6)-Id	aminoglycoside antibiotic	antibiotic inactivation	APH(6)	"APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids, integrative conjugative elements and chromosomal genomic islands in K. pneumoniae, Salmonella spp., E. coli, Shigella flexneri, Providencia alcalifaciens, Pseudomonas spp., V. cholerae, Edwardsiella tarda, Pasteurella multocida and Aeromonas bestiarum."	Pseudomonas aeruginosa	1	1	1	1	1
3002661	APH(7'')-Ia	aminoglycoside antibiotic	antibiotic inactivation	APH(7'')	APH(7'')-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in S. hygroscopicus.	Streptomyces hygroscopicus	1	1	1	1	1
3002662	APH(9)-Ia	aminoglycoside antibiotic	antibiotic inactivation	APH(9)	APH(9)-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in L. pneumophila.	Legionella pneumophila 130b	0	0	1	0	0
3002986	bacA	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	Escherichia coli str. K-12 substr. MG1655	0	0	1	0	0
3002683	catI	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	catI is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.	Escherichia coli	1	0	1	0	0
3002999	CblA-1	cephalosporin	antibiotic inactivation	CblA beta-lactamase	CblA-1 beta-lactamase is a class A beta-lactamase found in Bacteroides uniformis that is species-specific.	mixed culture bacterium AX_gF3SD01_15	0	0	1	0	0
3000578	CcrA	carbapenem	antibiotic inactivation	CfiA beta-lactamase	CcrA is a CfiA beta-lactamase.	Bacteroides fragilis	0	1	0	0	0
3003559	cepA	cephalosporin	antibiotic inactivation	CepA beta-lactamase	A beta-lactamase found in Bacteroides fragilis producing either low or high levels of the endogenous cephalosporinase activity.	Bacteroides fragilis	0	1	0	0	0
3006225	CepA-44	cephalosporin	antibiotic inactivation	CepA beta-lactamase	CepA-44 is a CepA beta-lactamase.	Bacteroides fragilis	0	0	1	1	0
3003002	CfxA2	cephamycin	antibiotic inactivation	CfxA beta-lactamase	CfxA2 beta-lactamase is a class A beta-lactamase found in Prevotella intermedia.	Prevotella intermedia	0	1	1	0	0
3003097	CfxA6	cephamycin	antibiotic inactivation	CfxA beta-lactamase	CfxA6 beta-lactamase is a class A beta-lactamase found in an uncultured bacterium.	uncultured organism	0	1	1	0	0
3006858	CMH-6	cephalosporin	antibiotic inactivation	CMH beta-lactamase	CMH-6 is a CMH beta-lactamase.	Enterobacter cloacae	0	0	1	0	0
3002695	cmlA5	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	cmlA5 is a plasmid or transposon-encoded chloramphenicol exporter that is found in Escherichia coli.	uncultured bacterium	1	0	0	0	0
3002702	cmrA	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	cmrA is a transposon-encoded chloramphenicol exporter that is found in Rhodococcus rhodochrous.	Rhodococcus rhodochrous	0	0	0	0	1
3004854	CMY-136	cephalosporin; cephamycin	antibiotic inactivation	CMY beta-lactamase	"A CMY-2-like beta-lactamase which confers resistance to cephalosporin antibiotics, and is also capable of hydrolyzing the CMY-2 inhibitors ticarcillin and cloxacillin."	Escherichia coli	0	0	1	0	0
3002013	CMY-2	penam; carbapenem; cephalosporin; cephamycin	antibiotic inactivation	CMY beta-lactamase	CMY-2 is a beta-lactamase found in Klebsiella pneumoniae.	Klebsiella pneumoniae	0	0	1	0	0
3000830	cpxA	aminocoumarin antibiotic; aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	"CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR, which promotes efflux complex expression."	Escherichia coli O157:H7 str. Sakai	1	1	1	1	1
3000518	CRP	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3001877	CTX-M-14	cephalosporin	antibiotic inactivation	CTX-M beta-lactamase	CTX-M-14 is a beta-lactamase found in the Enterobacteriaceae family.	Escherichia coli	1	0	0	0	0
3002854	dfrA1	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA1 is an integron-encoded dihydrofolate reductase.	Klebsiella oxytoca	1	0	0	0	0
3002858	dfrA12	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.	Klebsiella pneumoniae	1	0	1	0	0
3002859	dfrA14	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli.	Escherichia coli	1	1	1	1	1
3003013	dfrA15	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA15 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.	Escherichia coli	0	1	1	0	0
3003014	dfrA16	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA16 is an integron-encoded dihydrofolate reductase found in Salmonella enterica.	Escherichia coli	0	0	1	0	0
3002860	dfrA17	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli.	Pseudomonas aeruginosa	0	0	1	1	0
3002861	dfrA5	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA5 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.	Salmonella enterica subsp. enterica serovar Enteritidis	0	0	1	0	1
3002863	dfrA8	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrA8 is a transposon-encoded dihydrofolate reductase found in Salmonella enterica.	Salmonella enterica subsp. enterica serovar Typhimurium	1	1	1	1	0
3002867	dfrF	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	dfrF is a chromosome-encoded dihydrofolate reductase found in Streptococcus pyogenes.	Enterococcus faecalis	0	1	1	1	1
3002132	DHA-1	cephalosporin; cephamycin	antibiotic inactivation	DHA beta-lactamase	DHA-1 is a class C beta-lactamase found in Morganella morganii and Salmonella enterica.	Salmonella enterica subsp. enterica serovar Enteritidis	0	0	1	0	0
3006876	EC-15	cephalosporin	antibiotic inactivation	EC beta-lactamase	EC-15 is a EC beta-lactamase.	Escherichia coli	0	1	0	0	0
3006881	EC-8	cephalosporin	antibiotic inactivation	EC beta-lactamase	EC-8 is a EC beta-lactamase.	Escherichia coli	0	0	0	1	0
3000027	emrA	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"EmrA is a membrane fusion protein, providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli, a Gram-negative bacterium."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
